DICIONARIO,,,,,,,,,,
PALAVRA/SINGULAR,,SIGNIFICADO/TRADUÇÃO,,CLASE,,PLURAL,,PRONÚNCIA,USO,AMBIENTE
Rētia,,"""Um milagre inesperado / Sorte pura."" 
Quando você sobrevive a algo impossível.",,Holopfrases,,-,,Reetia,"O soldado escapou da flecha por um centímetro: ""Rētia!""",
Lindira,,"""A tristeza feliz de lembrar o passado."" 
(Similar à Saudade, mas focado na gratidão pela memória).",,Holopfrases,,-,,,Ao brindar a amigos mortos na taverna.,
Senra,,"""Irmão de batalha / Vínculo de vida e morte."" 
Alguém por quem você morreria, mas não é família de sangue.",,Holopfrases,,-,,,"Domenico apresentando seu melhor parceiro: ""Nof ina pa Senra.""",
Kias,,"""O silêncio tenso antes do ataque / 
A calmaria antes da tempestade.""",,Holopfrases,,-,,,"Quando a floresta fica muda de repente. ""Shopa Kias..."" (Está perigoso).",
Ujē,,"""Eu me rendo totalmente / Minha vida é sua."" 
A rendição absoluta onde você entrega sua honra ao vencedor.",,Holopfrases,,-,,Ujee,Um inimigo derrotado que não quer morrer.,
Turia,,Torre,,Subst. Fem.,,Turiais,,,Derivado de Artē (Alto) + som de Turris (Latim/Universal). Essencial para magos.,
Pula,,Portão / Grande Porta,,Subst. Masc.,,Pulais,,,Aumentativo de Kopa (Porta). A entrada da cidade.,
Hira,,Rua / Estrada,,Subst. Fem.,,Hirais,,,"Já tínhamos Hira (Caminho), oficializamos como Rua urbana.",
Plasa,,Praça / Pátio,,Subst. Fem.,,Plasais,,,Lugar aberto.,
Sodia,,Muralha,,Subst. Fem.,,Sodiais,,,Copta Sobt (Muro/Fortaleza).,
Kame,,Esgoto / Subterrâneo,,Subst. Neutro,,Kameis,,,Copta Kame (Escuro/Preto). Onde vivem os ladrões.,
Lomia,,Quarto,,Subst. Neutro,,Lomiais,,,Derivado de Loma (Cama) + sufixo -ia (Lugar).,
Noha,,Corda,,Subst. Fem.,,Nohais,,,Copta Nouh.,
Lola,,Bolsa / Saco,,Subst. Fem.,,Lolais,,,Copta Lo.,
Toka,,Tocha,,Subst. Fem.,,Tokais,,,Derivado de Kota (Fogo) invertido.,
Botia,,Frasco / Garrafa,,Subst. Fem.,,Botiais,,,Derivado de Sia (Beber) ou som de Bottle.,
Sela,,Sela (Montaria),,Subst. Fem.,,Selais,,,Já temos Hato (Cavalo).,
,,,,,,,,,Copta Ma (Lugar).,
Penka,,Chave,,Subst. Fem.,,Penkais,,,"Curiosamente, soa como Peka (Teu), mas o contexto diferencia.",
Nata,,Confiar,,Verbo,,-,,,Copta Nahte.,
Krofa,,Trair / Enganar,,Verbo,,-,,,Copta Krof.,
Rosha,,Servir / Obedecer,,Verbo,,-,,,Copta Rosh.,
Hopa,,Esconder,,Verbo,,-,,,Copta Hop.,
Sina,,Pedir / Suplicar,,Verbo,,-,,,Som suave.,
Un,,Um / Uma,,Artigos Indefinidos,,-,,Un,Artigo indefinido singular.,
Han,,Uns / Alguns,,Artigos Indefinidos,,-,,Rán,Plural (quantidade indefinida).,
Ke,,Que,,Pronome relativo.,,-,,Quê,Conecta orações (O homem que vi).,
Bo,,Por / Pelo(a),,Preposição,,-,,Bó,Indica o agente ou o meio.,
Nisha,,Grande,,Adj.,,Nishais,,,Copta Nish + vogal 'a'. (Cuidado: Nasha é Muito).,
Kouji,,Pequeno,,Adj.,,Koujis,,,Copta Kouji. Substitui Shima (que soa muito infantil).,
Hor,,Pesado,,Adj.,,Horis,,,Som grave e fechado.,
Iouf,,Leve,,Adj.,,Ioufis,,,"Som soprado, aéreo.",
Asua,,Rápido / Veloz,,Adj.,,Asuais,,,Copta Asou.,
Mona,,Lento / Devagar,,Adj.,,Monais,,,Copta Mon.,
Sifra,,Afiado / Cortante,,Adj.,,Sifrais,,,Reutilizando a raiz Sura (vazio/morte) para lâminas.,
Bula,,Cego (Lâmina),,Adj.,,-,,,Lâmina que não corta.,
Nefa,,Belo / Bonito,,Adj.,,Nefais,,,Do egípcio Nefer.,
Kaka,,Feio / Horrível,,Adj.,,Kakais,,,Som gutural.,
Shēn,,Árvore,,Subst. Fem.,,Shēnis,,Sheen,Raiz para Sheakama (Floresta).,
Hroa,,Caverna / Gruta,,Subst. Fem.,,Hroais,,,Copta Hro (Cova/Buraco).,
Iua,,Ilha,,Subst. Fem.,,Iuais,,,Som isolado.,
Sokia,,Praia / Areia,,Subst. Fem.,,Sokiais,,,"Já temos Shoita (Areia)? Se sim, usamos Shoita-Yoma (Areia do Mar). Vamos criar Sok para Costa.",
Buna,,Pedra (pequena),,Subst. Masc.,,Bunais,,,Diferente de Valis (Montanha) ou Ona (Rocha grande).,
Laka,,Lago,,Subst. Masc.,,Lakais,,,"Próximo do latim, mas encaixa na fonética.",
Traka,,Selva / Mato denso,,Subst. Masc.,,Trakais,,,Diferente de Sheakama (Floresta temperada).,
Sema,,Voz,,Subst. Fem.,,Semais,,,,
Nif,,Respiração / Sopro,,Subst. Masc.,,Nifis,,,,
Stoi,,Cheiro / Odor,,Subst. Masc.,,Stois,,,,
Kash,,Dor (Física),,Subst. Masc.,,Kashis,,,,
Jom,,Força / Poder Físico,,Subst. Masc.,,Jomis,,,,
Zaba,,Tempestade,,Subst. Fem.,,,,,Som forte e caótico.,
Kiona,,Neve,,Subst. Fem.,,,,,"Relacionado com Jafra (Gelo), mas suave a cair.",
Vola,,Nevoeiro / Neblina,,Subst. Masc.,,,,,"Algo que ""cobre"" a visão.",
Nura,,Terramoto / Tremor,,Subst. Masc.,,,,,Combinação de Kaia (Terra) + som de rutura.,
Tiu-Hor,,Furacão / Vendaval,,Subst. Masc.,,,,,Tiu (Vento) + Hor (Pesado). Palavra composta.,
Kaba,,Manto / Capa,,Subst. Fem.,,,,,Essencial para o frio (Jafa) e nevoeiro (Vola).,
Ratis,,Botas / Calçado,,Subst. Masc.,,,,,Derivado de Rata (Pé).,
Ruka,,Anel,,Subst. Masc.,,,,,"Objeto pequeno, comum para magos (Hekais).",
Hekaia,,Amuleto / Talismã,,Subst. Neutro,,,,,"Heka (Magia) + -ia (Lugar/Objeto). ""Onde a magia habita"".",
Lasa,,Cinto,,Subst. Masc.,,,,,Onde se guarda a faca (Faka) ou a bolsa (Lola).,
Kruk,,Monstro / Fera,,Subst. Masc.,,,,,"Som gutural, indica uma besta não natural.",
Kashua,,Fantasma / Assombração,,Subst. Masc.,,,,,"Ka (Espírito) + Shua (Fumo/Vapor). ""Um espírito de fumo"".",
Daruk,,Demónio / Entidade Maligna,,Subst. Masc.,,,,,Ser das trevas (Kaki).,
Anka,,Morto-Vivo (Zombie),,Subst. Masc.,,,,,"Prefixo An- (Não/Sem) + Ka (Alma). ""Aquele sem alma"".",
E,,Para / A (Direção),,Preposição,,,,,"Já usámos em frases, vamos oficializar. Ana boka e Valis (Vou para a montanha).",
Abol,,De (Origem / Procedência),,Preposição,,,,,Diferente de Nte (posse). Ana eia abol Ferunok (Eu venho de Ferunok). Copta Ebol.,
Ehra,,Sobre / Acima de,,Preposição,,,,,Ni Joma shopa ehra ni Tana (O livro está sobre a mesa). Copta Ehrai.,
Kha,,Sob / Debaixo de,,Preposição,,,,,Ana hopa ni Peka kha ni Loma (Escondo a chave debaixo da cama). Copta Kha.,
Ata,,Sem (Falta de),,Preposição,,,,,O oposto de Hena (Com). Mato ata Sifa (Soldado sem espada). Copta At.,
Haja,,Antes / Antes de,,Preposição / Conj.,,,,,Haja te Ushē eia (Antes que a noite chegue). Copta Hajen.,
Mena,,Depois / Após,,Preposição / Conj.,,,,,Mena ni misha (Depois da batalha). Copta Menensa.,
Tera,,Então / Portanto,,Conjunção,,,,,"Te Ushē shopa jafa, tera ana pola (A noite está fria, então eu corro).",
Hos,,Como / Igual a,,Conjunção (Comp.),,,,,Usado para comparar. Nof misha hos un Muia (Ele luta como um Leão).,
Wa-Zura,,Primeiro,,Numeral,,,,,"Literalmente ""A Raiz do Um""",
Rela,,Mandar / Enviar,,Verbo,,,,,,
Seko,,Seguidores/Discípulos,,Substantivo,,,,,,
Kajom,,Mana / Energia Mágica,,Substantivo,,,,,A junção de Ka (Alma) + Jom (Força). A força da alma que se gasta.,
Derva,,Maldição / Magia Negra,,Substantivo,,,,,"Derivado do nome do deus do caos, Dervhanan.",
Hek-an,,Exaustão Mágica / Rebote,,Substantivo,,,,,Heka (Magia) + An (Não). Quando ficas sem poder e sentes dor.,
Uralu,,Príncipe,,Subst. Masc.,,,,,"Uro (Rei) + Alu (Jovem/Garoto). ""O Jovem Rei"".",
Uralua,,Princesa,,Subst. Fem.,,,,,"Ura (Rainha) + Alua (Jovem/Garota). ""A Jovem Rainha"".",
Holo,,Tudo/todos,,Pronome,,,,,Engloba a totalidade. Ana naya holo (Eu vejo tudo),
Zan,,Nada,,Pronome,,,,,A ausência total. Ana ko zan (Eu não tenho nada / Eu tenho nada).,
Alya,,Outro / Outra,,Pronome / Adj.,,,,,Soka un alya Sifa (Traga uma outra espada).,
Na,,Bem / Bom,,Advérbio / Adj.,,,,,A raiz positiva básica (origem de Nofra e Ayana).,
Ipa,,Mesmo / Próprio,,Pronome,,,,,Para dar ênfase. Domenico ipa sajem (O próprio Domenico disse).,
Kema,,Precisar / Ter necessidade,,Verbo,,,,,Mais urgente que Ua (Querer). Ana kema mōa (Eu preciso de água).,
Sana,,Ajudar / Socorrer,,Verbo,,,,,Raiz ligada à cura/salvação.,
Gema,,Encontrar / Achar,,Verbo,,,,,Copta Jem (Encontrar).,
Nuka,,Perder (um objeto ou caminho),,Verbo,,,,,Som que remete para algo a cair ou a sumir.,
Hota,,Tentar / Esforçar-se,,Verbo,,,,,Copta Hōt.,
Ta,,Este / Isto,,Pron. Dem.,,,,,Usado para o que está perto. Ta ina pa sifa (Isto é a minha espada).,
Jet,,Aquele / Aquilo,,Pron. Dem.,,,,,"Extensão da palavra ""Ali"". Je ina pe kruk (Aquilo é o monstro).",
Hau,,Mais,,Advérbio,,,,,Copta Houo (Mais/Maior quantidade). Ana ua hau oika (Quero mais pão).,
Shan,,Menos,,Advérbio,,,,,"Som suave. Shan nuba, hau saterais (Menos ouro, mais moedas).",
Feno,,Demais / Em excesso,,Advérbio,,,,,Quando algo passa do limite. Ta ina jafa feno (Isto é frio demais).,
Mehti,,Norte,,Direção,,,,,"Som cortante, como o frio do alto.",
Rasi,,Sul,,Direção,,,,,A direção para onde as águas costumam fluir e descer.,
Iab,,Leste / Nascente,,Direção,,,,,Onde o sol (Rêa) nasce.,
Ament,,Oeste / Poente,,Direção,,,,,Onde o sol repousa.,
Yaro,,Rio / Curso d'água,,Subst. Masc.,,,,,Diferente de Mōa (Água) ou Laka (Lago).,
Shara,,Deserto / Ermo / Mar de Areia,,Subst. Fem.,,,,,Essencial para descrever vastas regiões áridas e implacáveis.,
Uroto,,Reino / Império,,Subst. Neutro,,,,,Uro (Rei) + To (País). A grande nação sob uma coroa.,
Tora,,Fronteira / Limite,,Subst. Fem.,,,,,As linhas que dividem os reinos.,
Kov,,Vale / Depressão Geográfica,,Subst. Masc.,,,,,Onde a terra se curva entre as montanhas.,
Mōa-Nuna,,Nascente / Fonte d'água,,Subst. Fem.,,,,,"Literalmente ""A raiz da água"".",
Fas,,Fase / Ciclo Lunar,,Subst. Fem.,,,,,Essencial para acompanhar a passagem dos meses e luas.,
Sira,,Estação do Ano,,Subst. Fem.,,,,,Os grandes ciclos do tempo além dos meses.,
Gaba,,Carroça / Transporte,,Subst. Fem.,,,,,Veículo de viagem terrestre.,
Gabato,,Caravana / Comboio,,Subst. Masc.,,,,,Várias Gaba juntas nas estradas.,
Nahtia,,Equipamento de Proteção / Amuleto Seguro,,Subst. Neutro,,,,,Nahta (Proteger) + -ia (Objeto/Lugar).,
Hekwa,,Acidente / Desastre Imprevisto,,Subst. Masc.,,,,,He (Cair) + Kwaý (Acontecimento ruim).,
Jōmalu,,Professor / Estudioso,,Subst. Masc.,,,,,"Jōm (Sábio/Mestre) + Alu (Jovem). ""Aquele que guia os jovens"".",
Nayato,,Guarda / Vigia / Sentinela,,Subst. Masc.,,,,,Naya (Ver) + Mato (Soldado).,
Vora,,Beijar,,Verbo,,,,,Afeto físico direto.,
Nasa,,Chorar,,Verbo,,,,,A manifestação da tristeza ou luto.,
Lisha,,Rir / Sorrir,,Verbo,,,,,A manifestação da alegria (Lina).,
Fola,,Voar,,Verbo,,,,,O que os pássaros e magos superiores fazem.,
Kada,,Construir / Edificar,,Verbo,,,,,"Erguer paredes, reinos ou acampamentos.",
Pira,,Queimar / Incendiar,,Verbo,,,,,"Diferente de Kota (O Fogo, substantivo).",
Zoka,,Plantar / Semear,,Verbo,,,,,Ação da terra e da agricultura.,
Vasha,,Colher,,Verbo,,,,,Retirar o que cresceu da terra.,
Mor,,Urso,,Subst. Masc.,,,,,"Som pesado, besta forte.",
Nefua,,Raposa,,Subst. Fem.,,,,,"Animal ardiloso, associado a Nefa (Bela).",
Kalk,,Cobre / Bronze,,Subst. Masc.,,,,,"Metal inferior ao ouro e prata, muito comum em moedas menores.",
Fia-Homa,,Guisado / Sopa Quente,,Subst. Neutro,,,,,Afia (Carne) + Homa (Quente). A refeição clássica do viajante.,
Mōaha,,Onda,,Subst. Neutro,,,,,"Mōa (Água) + Aha (Levantar). ""A água que se levanta"".",
Mōasua,,Corredeira / Água Rápida,,Subst. Neutro,,,,,Mōa (Água) + Asua (Rápido).,
Mōahe,,Cachoeira / Queda d'água,,Subst. Neutro,,,,,"Mōa (Água) + He (Cair). ""A água que cai"".",
Roayaro,,Foz do Rio / Estuário,,Subst. Neutro,,,,,"Roa (Boca) + Yaro (Rio). ""A boca do rio"".",
Mōashara,,Oásis,,Subst. Neutro,,,,,"Mōa (Água) + Shara (Deserto). ""Água no deserto"".",
Howajora,,Tempestade (de Chuva forte),,Subst. Neutro,,,,,Howa (Chuva) + Jora (Forte/Duro).,
Tiujora,,Ventania / Tempestade de Vento,,Subst. Neutro,,,,,Tiu (Vento) + Jora (Forte).,
Tiukouji,,Brisa,,Subst. Neutro,,,,,Tiu (Vento) + Kouji (Pequeno).,
Howajafa,,Neve / Chuva Congelante,,Subst. Neutro,,,,,Howa (Chuva) + Jafa (Frio).,
Onahowa,,Granizo,,Subst. Neutro,,,,,"Ona (Pedra) + Howa (Chuva). ""Chuva de pedra"".",
Shoitatiu,,Tempestade de Areia,,Subst. Neutro,,,,,Shoita (Areia) + Tiu (Vento).,
Sematepia,,Trovão,,Subst. Neutro,,,,,"Sema (Voz) + Tepia (Céu). ""A voz do céu"".",
Kotatepia,,Raio / Relâmpago,,Subst. Neutro,,,,,"Kota (Fogo) + Tepia (Céu). ""O fogo do céu"".",
Kaialaka,,Pântano / Pântano,,Subst. Neutro,,,,,"Kaia (Terra) + Laka (Molhado). ""Terra úmida/lamaçal"".",
Kaiahe,,Deslizamento de Terra,,Subst. Neutro,,,,,Kaia (Terra) + He (Cair).,
Kotavalis,,Vulcão,,Subst. Neutro,,,,,"Kota (Fogo) + Valis (Montanha). ""Montanha de fogo"".",
Howia,,Chover,,Verbo,,,,,Poua howia nasha (Hoje chove muito).,
Tiua,,Ventar / Soprar forte,,Verbo,,,,,Te tepia tiua jora (O céu venta forte).,
Zabia,,Trovoar / Tempestear,,Verbo,,,,,A ação de uma tempestade destruidora.,
Aia-Joma,,Biblioteca / Arquivo,,Subst. Fem.,,,,,Aia (Casa) + Joma (Livro).,
Mōa-Bala,,Lágrima,,Subst. Fem.,,,,,Mōa (Água) + Bala (Olho).,
Aia-Mora,,Prisão / Calabouço,,Subst. Masc.,,,,,Aia (Casa) + Mora (Amarrar/Prender).,
Joa-To,,Capital (Cidade principal),,Subst. Fem.,,,,,Joa (Cabeça) + To (País/Território).,
Huo-Zura,,Crepúsculo / Fim de tarde,,Subst. Fem.,,,,,Huo (Dia) + Zura (Última/Final).,
Munto,,Assassino / Executor,,Subst. Masc.,,,,,"Muna (Morte) + Mato (Soldado). O ""Soldado da Morte"".",
Moshaia,,Tenda / Acampamento,,Subst. Fem.,,,,,"Mosha (Caminhar) + Aia (Casa). A ""Casa de Caminhar"".",
Lomsa,,Enfermaria / Hospital,,Subst. Fem.,,,,,Loma (Cama) + Sana (Socorrer/Ajudar).,
Huoma,,Banquete / Refeição farta,,Subst. Fem.,,,,,Huo (Dia) + Woma (Comer). Comer até ser dia/festa.,
Suran,,Imortal / Sobrevivente,,Subst. Masc.,,,,,Sura (Morto) + An (Não). Aquele que não morre.,
Zaji,,Vidro / Cristal,,Subst. Masc.,,,,,Som afiado e polido.,
Vara,,Papel / Pergaminho,,Subst. Fem.,,,,,Essencial para os Jōmalu (Estudiosos).,
Maza,,Lei / Justiça,,Subst. Fem.,,,,,A base da ordem nos reinos.,
Zava,,Riqueza / Tesouro,,Subst. Neutro,,,,,O acúmulo de Satera (Moedas) e Nuba (Ouro).,
Tuka,,Imposto / Tributo,,Subst. Masc.,,,,,O que os Uro cobram aos Uela (Camponeses).,
Gura,,Canção / Hino,,Subst. Fem.,,,,,O que os Refa (Bardos) tocam na taverna.,
Veneno,,Veneno / Doença,,Subst. Masc.,,,,,O oposto da cura.,
Tala,,Acordo / Promessa,,Subst. Fem.,,,,,A palavra dada entre duas pessoas.,
Ana,,Eu,,Pronome,,,,(A-na),Anok,
Ento,,Você,,Pronome,,,,(En-to),Ntok,
Nof,,Ele,,Masc.,,,,(Nof - som de o fechado),Ntof,
Nas,,Ela,,Fem.,,,,(Nás),Ntos,
Sen,,Isso/Elu,,Neutro,,,,(Sên - leve e breve),-,
Anon,,Nós,,Pronome,,,,(A-nu),Anon,
Nae,,Eles/Elas,,Pronome,,,,(Na-ê),Ntoou,
En,,Em / No / Na,,Preposição,,,,,Lugar estático (En aia).,
E,,Para / Direção,,Preposição,,,,,Movimento (Boka e Valis - Ir para a montanha).,
Hena,,Com,,Preposição,,,,,Companhia (Hena shibra).,
Nte,,De / Posse,,Preposição,,,,,Pertencimento (Sifa nte Uro).,
Na,,Bem / Bom,,Advérbio,,,,,Encurtamento de Nofra.,
Se,,Sim,,Advérbio,,,,,Encurtamento de Sena.,
An,,Não,,Advérbio,,,,,Negação curta.,
Ku,,Mal / Ruim,,Advérbio,,,,,Encurtamento de Kwaý.,
Je,,Lá / Ali,,Advérbio,,,,,"Oposto de Tai (Aqui).
antes de um título 
funciona como ""O""",
Nia,,Não (Resposta),,Interjeição,,,,,"Para responder perguntas. 
Diferente de An 
(que nega Verbos, ex: An ina = não é).",
-ma,,Honorífico de Afeto,,Honorifico,,,,"Petros-ma
(Querido Petros)","Para família, amantes e amigos muito íntimos 
(Shibra-ma).Indica que aquela pessoa é 
""parte de você"".",
-rê,,Honorífico de Grandeza,,Honorifico,,,,"Achenar-rê
(Grande Achenar)","Exclusivo para Reis, Sumos
 Sacerdotes ou entidades mágicas.
É mais alto que -k",
-li,,Honorífico Diminutivo,,Honorifico,,,,"Ihab-li, Emua-li (gatinho)","Para crianças, animais de estimação 
ou para flertar de forma brincalhona.",
-jo,,Honorífico de Mestria,,Honorifico,,,,"Domenico-jo
(Mestre Domenico)","Para alguém que é especialista no que faz
Reconhece a habilidade técnica.",
-nu,,Honorífico de Desprezo,,Honorifico,,,,"Eshot-nu
 (Comerciante trapaceiro/irrelevante).","Para prisioneiros, inimigos ou quando você quer
 ser educadamente rude, indicando que a pessoa 
é ""inferior"" ou ""irrelevante"".",
-k,,Honorífico de Respeito,,Honorifico,,,,"Petros-k
(Sr. Petros)",Respeito Padrão / Sr.,
Pe,,O,,Artigo Masc.,,,,,,
Te,,A,,Artigo Fem.,,,,,,
Ni,,O/A,,Artigo Neutro,,,,,,
Ne,,Os,,Artigo Masc.,,,,,,
Ne,,As,,Artigo Fem.,,,,,,
Ni,,Os/As,,Artigo Neutro,,,,,,
Veti,,Preço / Valor,,Subst. Masc.,,,,,Derivado de Veta (Vender).,
Aia-Baza,,Loja / Armazém,,Subst. Fem.,,,,,Aia (Casa) + Baza (Mercado).,
Noha-Mōa,,Rede (de pesca ou armadilha),,Subst. Fem.,,,,,Noha (Corda) + Mōa (Água).,
Kash-Aia,,Hospital / Curandeiro,,Subst. Fem.,,,,,Kash (Dor) + Aia (Casa). Alternativa mais grave a Lomsa.,
Panu,,Pano / Lona,,Subst. Masc.,,,,,"Para tendas ou barcos (diferente de Hebsa, que é roupa fina).",
Zajia,,Espelho,,Subst. Neutro,,,,,Derivado de Zaji (Vidro) + -ia (Lugar/Objeto). Substitui Ais para evitar confusão com Prata.,
Mato-Neba,,Cavaleiro / Nobre de Guerra,,Subst. Masc.,,,,,Mato (Soldado) + Neba (Lorde).,
Refaia,,Teatro / Palco,,Subst. Neutro,,,,,Refa (Bardo/Músico) + -ia. O lugar da música.,
Uela-Afia,,Açougueiro / Caçador de vila,,Subst. Masc.,,,,,Uela (Camponês) + Afia (Carne).,
Tota-Jom,,Trabalhador Braçal / Escravo,,Subst. Masc.,,,,,Tota (Mão) + Jom (Força).,
Kora-Hēt,,Paixão / Amor Feroz,,Subst. Masc.,,,,,Kora (Coragem) + Hēt (Coração).,
Huma-Kaki,,Terror / Pânico,,Subst. Masc.,,,,,Huma (Medo) + Kaki (Escuridão).,
Lina-Bala,,Choro de Alegria / Lágrima Boa,,Subst. Fem.,,,,,Lina (Alegria) + Bala (Olho).,
Mina-Soma,,Preguiça / Cansaço Mental,,Subst. Fem.,,,,,Mina (Mente) + Soma (Sono).,
Dira-Ka,,Depressão / Tristeza Profunda,,Subst. Fem.,,,,,"Dira (Dor) + Ka (Alma). ""Dor na alma"".",
Mina-Jora,,Teimosia / Determinação,,Subst. Fem.,,,,,"Mina (Mente) + Jora (Duro). ""Mente dura"".",
Shiba,,Casar / Unir,,Verbo,,,,,Raiz relacionada com Shibra (Amigo).,
Fota,,Dividir / Separar,,Verbo,,,,,Raiz ligada a Fotu (Quatro/Pedaços).,
Zuva,,Roubar / Saquear,,Verbo,,,,,Ação dos bandidos e inimigos.,
Zuvato,,Ladrão / Saqueador,,Subst. Masc.,,,,,Aquele que rouba.,
Hēta,,Confessar / Dizer a verdade,,Verbo,,,,,Falar do Hēt (Coração).,
Krofaia,,Ilusão / Mentira mágica,,Subst. Fem.,,,,,Krofa (Enganar) + -ia.,
Kotia,,Lareira / Forno,,Subst. Fem.,,,,,Kota (Fogo) + -ia (Lugar). Onde o fogo vive.,
Sita-Loma,,Sofá / Assento macio,,Subst. Fem.,,,,,Sita (Cadeira) + Loma (Cama).,
Uoina-Toka,,Lamparina / Lampião,,Subst. Fem.,,,,,Uoina (Luz) + Toka (Tocha). Uma tocha de luz controlada.,
Aia-Mōa,,Poço / Banho,,Subst. Fem.,,,,,Aia (Casa) + Mōa (Água). A casa da água.,
Oika-Ushē,,Ceia / Jantar,,Subst. Neutro,,,,,Oika (Comida) + Ushē (Noite).,
Hoja,,Rosto / Face,,Subst. Fem.,,,,,Raiz nova. Onde as emoções aparecem.,
Kas,,Osso,,Subst. Masc.,,,,,Raiz nova. Estrutura do corpo.,
Ken,,Peito / Tórax,,Subst. Masc.,,,,,Onde repousa o coração (Hēt).,
Baka,,Costas,,Subst. Fem.,,,,,Oposto de Ken.,
Rem,,Ombro,,Subst. Masc.,,,,,Onde se carrega peso.,
Kele,,Joelho,,Subst. Masc.,,,,,Articulação principal.,
Kala-kas,,Unha / Garra,,Subst. Fem.,,,,,Kala (Dedo) + Kas (Osso).,
Nif-hēt,,Pulmão,,Subst. Masc.,,,,,Nif (Sopro/Ar) + Hēt (Coração/Centro).,
Senofa-kama,,Veneno no sangue / Infecção,,Subst. Masc.,,,,,Senofa (Sangue) + Kama (Escuro).,
Mōa-jom,,Suor,,Subst. Neutro,,,,,Mōa (Água) + Jom (Esforço/Força).,
Haka-an,,Surdo,,Adjetivo,,,,,Haka (Ouvido) + An (Não).,
Sema-an,,Mudo,,Adjetivo,,,,,Sema (Voz) + An (Não).,
Kash-ina,,Doente,,Adjetivo,,,,,Estar (Ina) em dor (Kash).,
Onha-na,,Saudável,,Adjetivo,,,,,Onha (Vida) + Na (Boa).,
Hala-artē,,Águia / Falcão,,Subst. Masc.,,,,,Hala (Pássaro) + Artē (Supremo).,
Kruk-kota,,Dragão / Wyrm,,Subst. Masc.,,,,,Kruk (Monstro) + Kota (Fogo).,
Pinu,,Rato / Roedor,,Subst. Masc.,,,,,Animal pequeno que rouba grãos.,
Grog,,Inseto / Bicho pequeno,,Subst. Masc.,,,,,Som gutural/rastejante.,
Grog-noha,,Aranha,,Subst. Fem.,,,,,Inseto (Grog) da corda/teia (Noha).,
Grog-jom,,Formiga,,Subst. Fem.,,,,,Inseto forte (Jom).,
Kro,,Sapo / Rã,,Subst. Masc.,,,,,Onomatopeia do som do sapo.,
Posh,,Porco / Javali,,Subst. Masc.,,,,,Animal de abate ou selvagem.,
Shēn-hato,,Cervo / Veado,,Subst. Masc.,,,,,Shēn (Árvore/Bosque) + Hato (Cavalo).,
Hala-kama,,Corvo,,Subst. Masc.,,,,,Pássaro (Hala) Negro (Kama).,
Kaio,,Marrom / Castanho (Cor),,Adjetivo,,,,,Derivado de Kaia (Terra).,
Kama-woba,,Cinza (Cor),,Adjetivo,,,,,Mistura de Preto e Branco.,
Kaia-mōa,,Lamaçal (Área grande),,Subst. Neutro,,,,,Kaia (Terra) + Mōa (Água).,
Hroa-kaki,,Abismo / Fosso profundo,,Subst. Masc.,,,,,Hroa (Caverna) + Kaki (Trevas).,
Valis-shota,,Penhasco,,Subst. Masc.,,,,,Montanha cortada (Shota).,
Shua-kas,,Cinzas (de fogueira),,Subst. Fem.,,,,,"O ""Osso"" (resto) da fumaça/fogo.",
Kouji-shēn,,Arbusto / Moita,,Subst. Fem.,,,,,Árvore pequena.,
Sifra-shēn,,Espinho,,Subst. Masc.,,,,,"O ""Afiado"" da árvore.",
Wota-kaia,,Musgo,,Subst. Neutro,,,,,O verde (Wota) da terra (Kaia).,
Mata,,Martelo,,Subst. Masc.,,,,,Ferramenta pesada.,
Sifra-shea,,Machado de lenhador,,Subst. Masc.,,,,,Cortador (Sifra) de madeira (Shea).,
Oika-botia,,Panela / Caldeirão,,Subst. Fem.,,,,,O frasco/pote da comida (Oika).,
Gaba-rata,,Roda,,Subst. Fem.,,,,,"O ""Pé"" da carroça (Gaba).",
Kouji-sifra,,Agulha,,Subst. Fem.,,,,,Lâmina pequenina.,
Kouji-noha,,Linha / Fio,,Subst. Fem.,,,,,Corda pequenina.,
Uro-sita,,Trono,,Subst. Fem.,,,,,Cadeira do Rei.,
Uro-joa,,Coroa,,Subst. Fem.,,,,,Cabeça (enfeite) do Rei.,
Nisha-yara,,Navio (Grande),,Subst. Masc.,,,,,Barco grande.,
Yara-aia,,Porto / Cais,,Subst. Neutro,,,,,Casa dos barcos.,
Surah-jora,,Queijo,,Subst. Neutro,,,,,Leite (Surah) duro (Jora).,
Hala-uma,,Ovo,,Subst. Neutro,,,,,A comida/fruto do pássaro (Hala).,
Mōa-oika,,Sopa rala / Caldo,,Subst. Neutro,,,,,Água com comida.,
Hekta-jora,,Bebida forte / Licor,,Subst. Neutro,,,,,Cerveja (Hekta) forte (Jora).,
Hepa-bana,,Vinho doce,,Subst. Neutro,,,,,Vinho com sabor a tâmara/fruta.,
Kota-woma,,Carne Assada / Churrasco,,Subst. Neutro,,,,,Comer (Woma) do fogo (Kota).,
Banio,,Doce (Sabor),,Adjetivo,,,,,Derivado de Bana (Tâmara).,
Kemio,,Salgado (Sabor),,Adjetivo,,,,,Derivado de Kem (Sal).,
Kopo-shea,,Caneca de madeira,,Subst. Masc.,,,,,Copo de taverna.,
Zava-ko,,Rico / Endinheirado,,Adjetivo,,,,,Aquele que tem (Ko) riqueza (Zava).,
Zava-an,,Pobre / Miserável,,Adjetivo,,,,,Sem (An) riqueza.,
